date,open,high,close,low,volume,amount
2017-12-29,279.68,280.76,279.89,277.94,15291115.0,196326252.0
2017-12-28,279.68,284.03,280.33,277.5,28102638.0,362983335.0
2017-12-27,283.59,283.81,279.68,279.68,21482869.0,278096876.0
2017-12-26,282.94,285.98,283.81,282.5,16199833.0,211549033.0
2017-12-25,284.46,285.76,282.94,282.94,13049702.0,170299011.0
2017-12-22,284.24,288.16,284.46,283.81,14407494.0,189446886.0
2017-12-21,281.63,287.5,284.9,280.55,31697979.0,414452969.0
2017-12-20,287.07,287.51,281.85,281.63,31059606.0,405177577.0
2017-12-19,286.85,288.38,286.85,285.98,30992015.0,408881452.0
2017-12-18,292.73,293.6,286.85,286.42,31076985.0,413922712.0
2017-12-15,297.94,298.6,292.73,292.51,31474376.0,426596631.0
2017-12-14,305.12,305.56,298.38,297.73,28710647.0,396448454.0
2017-12-13,307.3,308.38,304.9,304.03,27281555.0,382826225.0
2017-12-12,310.34,310.77,306.64,306.43,13292263.0,188592399.0
2017-12-11,309.69,311.43,310.34,308.82,16146189.0,230095440.0
2017-12-08,309.25,311.64,309.47,309.04,13033638.0,185824443.0
2017-12-07,313.38,314.69,309.04,308.82,20788794.0,297459201.0
2017-12-06,315.34,316.87,316.0,312.08,37459918.0,541016792.0
2017-12-05,308.38,318.17,316.43,307.3,81555493.0,1178527650.0
2017-12-04,309.25,311.43,308.82,304.03,38731474.0,547789352.0
2017-12-01,311.43,311.43,310.99,308.6,20384540.0,290512422.0
2017-11-30,310.56,314.69,310.77,309.04,24877497.0,356410869.0
2017-11-29,311.86,312.08,310.77,308.38,22681053.0,323368948.0
2017-11-28,310.99,312.3,311.64,308.82,20274700.0,289290822.0
2017-11-27,310.34,312.51,311.86,308.17,33437691.0,477902349.0
2017-11-24,311.64,312.08,311.43,306.64,50193986.0,715034434.0
2017-11-23,315.78,317.95,310.77,306.64,41455601.0,598048896.0
2017-11-22,316.43,319.26,315.56,313.82,42764051.0,622021148.0
2017-11-21,311.21,323.17,316.43,307.95,84531431.0,1235320993.0
2017-11-20,311.64,314.91,308.6,307.73,38854626.0,554625576.0
2017-11-17,305.56,315.34,314.47,303.38,85728993.0,1220736699.0
2017-11-16,310.99,311.43,305.56,305.34,29068601.0,411813094.0
2017-11-15,308.38,313.17,311.86,308.38,33074007.0,473456475.0
2017-11-14,314.91,315.12,312.3,311.86,22239705.0,319959985.0
2017-11-13,317.08,318.39,314.69,314.25,20880203.0,303422006.0
2017-11-10,316.86,317.73,316.21,314.04,23067129.0,334995818.0
2017-11-09,317.08,319.26,317.52,315.34,20967799.0,305568547.0
2017-11-08,314.47,323.17,318.17,314.04,48030457.0,705023827.0
2017-11-07,314.91,316.65,315.12,312.73,25285554.0,365662295.0
2017-11-06,313.82,314.69,313.17,312.3,12070117.0,173846437.0
2017-11-03,314.04,315.78,315.34,310.99,30377279.0,438311970.0
2017-11-02,313.82,315.78,314.04,311.86,18288205.0,263701644.0
2017-11-01,315.34,315.78,312.95,312.95,18511910.0,267868494.0
2017-10-31,316.43,317.3,314.91,313.38,19893757.0,288021080.0
2017-10-30,319.69,320.34,318.82,310.56,47934934.0,695184662.0
2017-10-27,320.56,321.65,319.69,319.26,12398495.0,182742058.0
2017-10-26,320.78,322.52,320.56,319.04,19822717.0,292661504.0
2017-10-25,322.08,322.95,321.0,319.69,19409419.0,286831670.0
2017-10-24,317.52,322.52,321.87,317.08,40591542.0,598630990.0
2017-10-23,319.47,320.13,317.52,316.43,14053092.0,205155810.0
2017-10-20,317.3,321.0,319.26,316.87,17026434.0,249648404.0
2017-10-19,321.87,322.08,317.95,317.52,24776465.0,363793772.0
2017-10-18,320.13,324.04,322.3,319.69,40030545.0,592530979.0
2017-10-17,322.08,322.08,319.91,319.69,21388000.0,315341899.0
2017-10-16,322.95,325.35,322.74,321.87,32363511.0,481483177.0
2017-10-13,321.65,323.17,322.52,321.21,12645838.0,187309472.0
2017-10-12,322.52,323.17,321.21,321.0,16055028.0,237419194.0
2017-10-11,323.39,324.04,322.3,321.87,20893598.0,310385182.0
2017-10-10,322.3,323.61,323.17,321.65,18449158.0,273639246.0
2017-10-09,326.22,327.74,322.3,321.21,37425074.0,557578463.0
2017-09-29,320.35,324.26,321.43,320.35,28859752.0,428075423.0
2017-09-28,320.34,321.21,320.56,319.91,18667356.0,275145225.0
2017-09-27,322.08,323.17,320.56,319.69,29437390.0,434699690.0
2017-09-26,323.39,325.13,322.3,321.87,22924046.0,340641291.0
2017-09-25,324.48,326.87,323.39,321.65,40843364.0,609473866.0
2017-09-22,323.39,327.3,325.78,319.47,46979279.0,698364908.0
2017-09-21,325.35,327.74,324.48,324.04,32633991.0,489143273.0
2017-09-20,325.35,326.43,325.78,323.61,28716995.0,429163263.0
2017-09-19,328.39,329.04,325.78,324.69,31846300.0,478153394.0
2017-09-18,326.87,329.48,328.83,326.65,40418222.0,610004942.0
2017-09-15,324.48,327.3,326.0,323.39,23961743.0,358587736.0
2017-09-14,327.74,329.7,325.78,324.48,30935971.0,465520101.0
2017-09-13,328.17,328.61,327.74,326.22,15699764.0,236171680.0
2017-09-12,326.43,331.65,327.74,326.0,41392078.0,625889180.0
2017-09-11,326.22,328.17,325.78,324.69,27193804.0,407960315.0
2017-09-08,326.22,326.87,326.22,324.26,29186762.0,436850405.0
2017-09-07,328.83,330.56,325.56,324.69,31738397.0,478434855.0
2017-09-06,330.13,330.13,328.39,326.22,32186000.0,485220039.0
2017-09-05,331.0,332.52,329.7,329.48,29423397.0,447483828.0
2017-09-04,332.74,333.61,330.78,329.48,37567234.0,571240442.0
2017-09-01,332.52,335.13,333.18,331.44,58899675.0,901786408.0
2017-08-31,330.78,334.05,332.52,330.13,41908082.0,640041467.0
2017-08-30,331.0,336.65,330.78,329.69,72071644.0,1102470804.0
2017-08-29,332.74,334.7,329.26,328.61,56299517.0,858120563.0
2017-08-28,323.61,337.31,334.48,323.61,146921112.0,2249570006.0
2017-08-25,315.12,322.95,321.21,315.12,44844511.0,660376688.0
2017-08-24,318.6,319.47,315.34,314.91,19642221.0,286041631.0
2017-08-23,318.39,320.78,319.04,316.65,25329764.0,371882351.0
2017-08-22,317.52,318.82,318.39,316.43,25359062.0,370620259.0
2017-08-21,315.78,318.17,317.52,315.78,21981745.0,320722747.0
2017-08-18,317.52,319.47,316.65,315.56,17856303.0,260325046.0
2017-08-17,316.86,319.04,318.6,316.65,15076833.0,220413088.0
2017-08-16,315.78,319.04,316.86,314.91,18695063.0,272562642.0
2017-08-15,318.6,319.26,316.21,315.34,18237266.0,265982180.0
2017-08-14,315.34,319.69,318.17,314.47,27561707.0,401417675.0
2017-08-11,319.91,320.78,314.25,313.82,35632178.0,520262466.0
2017-08-10,322.08,324.48,321.87,318.6,36111065.0,534014336.0
2017-08-09,324.04,324.91,321.65,321.21,25283777.0,374621799.0
2017-08-08,325.35,326.43,325.35,321.21,29649217.0,441740305.0
2017-08-07,327.3,329.26,325.78,324.91,29141375.0,437284468.0
2017-08-04,326.43,331.87,329.04,325.56,49938511.0,757417329.0
2017-08-03,327.3,329.48,326.87,324.48,37287298.0,561105512.0
2017-08-02,327.09,331.0,328.17,325.35,63431711.0,958012144.0
2017-08-01,323.61,327.52,325.78,322.95,47481102.0,711542658.0
2017-07-31,320.34,325.78,323.39,319.47,42739862.0,635381908.0
2017-07-28,322.74,324.48,322.95,321.21,22423631.0,332877783.0
2017-07-27,322.08,324.91,323.39,318.6,27884186.0,412722702.0
2017-07-26,322.75,323.17,321.25,319.1,30694755.0,459711988.0
2017-07-25,324.67,325.32,321.25,320.82,26011998.0,391496899.0
2017-07-24,324.25,327.68,324.67,323.6,30181627.0,457907672.0
2017-07-21,325.53,328.75,324.67,323.82,33109375.0,503588923.0
2017-07-20,330.25,332.18,327.68,325.32,55013894.0,842445202.0
2017-07-19,315.46,331.96,330.68,313.75,85894777.0,1301021842.0
2017-07-18,318.25,319.1,315.89,313.53,26933712.0,397388337.0
2017-07-17,326.82,329.39,319.1,318.25,44697249.0,672800834.0
2017-07-14,326.39,327.89,326.39,324.46,30831456.0,468990322.0
2017-07-13,320.6,327.68,326.39,318.89,50673666.0,767303991.0
2017-07-12,320.82,324.46,319.96,318.67,34283257.0,514287578.0
2017-07-11,319.1,324.46,320.39,318.67,47889497.0,719594167.0
2017-07-10,316.53,321.03,319.1,316.1,29795984.0,444009945.0
2017-07-07,314.82,318.46,317.6,313.1,21792265.0,321017966.0
2017-07-06,316.75,316.96,315.25,314.6,12072133.0,177728452.0
2017-07-05,315.25,316.96,316.53,314.6,14041212.0,207073619.0
2017-07-04,316.32,316.75,315.25,315.03,11799843.0,173838298.0
2017-07-03,318.25,318.46,316.1,315.46,16345753.0,241270786.0
2017-06-30,317.17,318.67,318.25,316.32,12313834.0,182379451.0
2017-06-29,317.82,318.89,318.25,316.53,17179925.0,254832667.0
2017-06-28,317.39,319.32,317.17,316.75,29514625.0,437968519.0
2017-06-27,319.32,319.75,317.82,317.6,21604557.0,321122123.0
2017-06-26,317.6,321.46,319.32,316.96,32048895.0,477140033.0
2017-06-23,321.03,321.89,317.6,315.46,33888015.0,503192936.0
2017-06-22,319.96,324.25,322.32,319.32,60520830.0,909497084.0
2017-06-21,324.68,326.39,321.03,319.96,33785129.0,508424642.0
2017-06-20,321.89,322.75,321.46,319.75,22572063.0,337909023.0
2017-06-19,318.46,322.75,322.1,317.82,25235014.0,378288530.0
2017-06-16,319.1,320.82,318.25,316.75,13119216.0,195242216.0
2017-06-15,316.75,320.39,319.32,315.89,18654275.0,277323764.0
2017-06-14,317.82,318.25,317.39,315.03,17991047.0,265778366.0
2017-06-13,317.39,318.89,317.82,315.25,14662088.0,217076169.0
2017-06-12,320.39,322.32,318.46,316.1,24549870.0,365220019.0
2017-06-09,321.89,324.46,320.6,319.96,30460611.0,457516720.0
2017-06-08,320.82,322.1,321.03,319.53,18689284.0,279727794.0
2017-06-07,321.46,322.96,321.25,320.39,41277870.0,619496253.0
2017-06-06,322.1,323.17,321.03,319.75,14376825.0,215477489.0
2017-06-05,321.46,322.96,321.46,319.75,13665383.0,204808398.0
2017-06-02,323.39,325.32,322.1,319.75,29839325.0,447850130.0
2017-06-01,326.6,328.96,323.82,323.6,29578086.0,451491214.0
2017-05-31,325.53,329.18,327.89,321.89,50855013.0,773955774.0
2017-05-26,321.46,325.1,324.25,320.82,40207160.0,606227661.0
2017-05-25,312.89,326.82,323.39,312.89,57968035.0,867473840.0
2017-05-24,312.46,316.1,315.67,311.82,38863675.0,569165008.0
2017-05-23,310.74,316.75,316.32,306.89,77673038.0,1127104678.0
2017-05-22,308.82,312.67,312.46,304.96,28973170.0,417427866.0
2017-05-19,309.46,310.32,308.82,307.74,12125622.0,174801663.0
2017-05-18,313.32,314.82,310.32,307.31,35621019.0,516304012.0
2017-05-17,319.1,321.46,315.67,315.25,21512356.0,319830624.0
2017-05-16,319.32,320.39,319.32,316.53,27672996.0,411744752.0
2017-05-15,316.32,322.53,320.82,315.89,43459283.0,650016624.0
2017-05-12,316.32,319.53,316.1,314.82,20859486.0,308435768.0
2017-05-11,308.6,318.25,316.32,307.53,38916294.0,568338068.0
2017-05-10,311.6,312.25,310.96,307.1,25314636.0,365301854.0
