date,open,high,close,low,volume,amount
2017-12-29,869.02,878.62,876.22,866.62,50560539.0,368590684.0
2017-12-28,871.42,876.22,866.62,864.22,55202461.0,400151136.0
2017-12-27,870.22,883.42,875.02,866.62,89729548.0,654416656.0
2017-12-26,858.21,876.22,872.62,857.01,68891988.0,497755796.0
2017-12-25,851.01,879.82,863.01,851.01,102654605.0,743396979.0
2017-12-22,852.21,854.61,847.41,846.21,29247433.0,207275651.0
2017-12-21,845.01,864.22,855.81,841.41,65361838.0,464912267.0
2017-12-20,855.81,857.01,837.81,836.61,80198156.0,563226165.0
2017-12-19,857.01,859.41,858.21,853.41,20073176.0,143183615.0
2017-12-18,855.81,859.41,854.61,851.01,18249976.0,129793932.0
2017-12-15,864.22,865.42,854.61,853.41,31916391.0,228041292.0
2017-12-14,871.42,876.22,865.42,864.22,25968261.0,188093086.0
2017-12-13,875.02,876.22,871.42,866.62,26327064.0,191062320.0
2017-12-12,870.22,881.02,877.42,866.62,59677244.0,434701928.0
2017-12-11,861.82,876.22,869.02,860.62,45118698.0,326431325.0
2017-12-08,853.41,872.62,864.22,852.21,55248661.0,397184550.0
2017-12-07,857.01,871.42,858.21,854.61,46074940.0,331060496.0
2017-12-06,853.41,864.22,858.21,848.61,40073175.0,285637372.0
2017-12-05,854.61,863.01,854.61,851.01,38275801.0,273322275.0
2017-12-04,867.82,867.82,858.21,854.61,53277906.0,381643941.0
2017-12-01,864.22,885.82,871.42,864.22,49296071.0,358899244.0
2017-11-30,889.42,890.62,867.82,861.82,72943329.0,532158842.0
2017-11-29,859.41,897.83,895.42,854.61,110170937.0,806292176.0
2017-11-28,861.82,865.42,860.62,847.41,50780686.0,362316699.0
2017-11-27,870.22,876.22,860.62,859.41,37781777.0,272543794.0
2017-11-24,864.22,872.62,869.02,860.62,44063461.0,318156221.0
2017-11-23,899.03,899.03,865.42,863.02,83409936.0,614964337.0
2017-11-22,894.23,912.23,905.03,889.42,93831675.0,703883805.0
2017-11-21,866.62,905.03,894.23,864.22,76716323.0,568288597.0
2017-11-20,882.22,884.62,869.02,854.61,61338875.0,442417986.0
2017-11-17,895.42,906.23,888.22,883.42,72374007.0,538361739.0
2017-11-16,885.82,905.03,897.83,884.62,58112530.0,434902840.0
2017-11-15,893.02,894.22,888.22,884.62,28905735.0,214015075.0
2017-11-14,893.02,896.62,893.02,885.82,36041742.0,267504722.0
2017-11-13,895.42,900.23,891.82,888.22,46098896.0,343275529.0
